space,algorithm,k,bootstrap_ari_median,bootstrap_ari_q25,bootstrap_ari_q75,silhouette,criterion,share_uncertain,min_cluster_frac,n,n_components,selection_score
metabolic,kmeans,2,0.96431776590294,0.9465609120700273,0.9756869386988194,0.3494519591277125,-2642.5966947786624,,0.2664054848188051,1021,4,2.0783615113697365
metabolic,kmeans,3,0.9412435576208492,0.9359659919846018,0.9617339149288086,0.22679837679948625,-2183.858172692395,,0.23996082272282077,1021,4,1.9708863036414415
metabolic,kmeans,4,0.9351777657078946,0.8823129945276026,0.9500959202445385,0.21810915378990967,-1941.56252475408,,0.14593535749265427,1021,4,1.927377787057071
