space,algorithm,k,bootstrap_ari_median,bootstrap_ari_q25,bootstrap_ari_q75,silhouette,criterion,share_uncertain,min_cluster_frac,n,n_components,selection_score
thyroid,kmeans,2,0.9896386391822652,0.9892502869952277,1.0,0.7690245450049528,-1255.9922473726328,,0.0712223291626564,1039,2,2.274400715448335
thyroid,kmeans,3,0.9423743191948464,0.67574662617863,0.9594212241906677,0.43299472463796557,-910.8186402410655,,0.059672762271414825,1039,2,2.006082381844383
thyroid,kmeans,4,0.8066819705319154,0.6941022197794964,0.8843159427166853,0.41719364259554537,-620.7689495289675,,0.05774783445620789,1039,2,1.7258346795897073
