space,n,n_features,features,selected_algorithm,selected_k,bootstrap_ari_median,bootstrap_ari_q25,bootstrap_ari_q75,silhouette,min_cluster_frac,share_uncertain,qc_pass_model
endocrine,1092,11,LH|FSH|LH_FSH_ratio|TESTO_TOTAL|TESTO_FREE|SHBG|FAI|DHEA_S|CORT_8|CORT_23|CORT_ratio_23_8,kmeans,2,0.9152665961200684,0.830109973365122,0.9455862692433126,0.25929142125102506,0.3021978021978022,,True
metabolic,1021,7,GLU0|GLU120|INS0|TCHOL|LDL|HDL|TG,kmeans,2,0.96431776590294,0.9465609120700273,0.9756869386988194,0.3494519591277125,0.2664054848188051,,True
thyroid,1039,3,TSH|FT4|ATA_TPO_log1p,kmeans,2,0.9896386391822652,0.9892502869952277,1.0,0.7690245450049528,0.0712223291626564,,False
inflammatory,901,6,WBC|NEUT|LYMPH|PLT|NLR|PLR,kmeans,2,0.9302037656709405,0.806362449096136,0.9787645712031523,0.3805898961931977,0.30632630410654826,,True
