space,algorithm,k,bootstrap_ari_median,bootstrap_ari_q25,bootstrap_ari_q75,silhouette,criterion,share_uncertain,min_cluster_frac,n,n_components,selection_score
inflammatory,kmeans,2,0.9302037656709405,0.806362449096136,0.9787645712031523,0.3805898961931977,-1869.7547497561368,,0.30632630410654826,901,2,2.02570247943848
inflammatory,kmeans,3,0.8231662554863175,0.7747004798124366,0.8720167808102048,0.3475682080478272,-1316.7426290842704,,0.1864594894561598,901,2,1.7883463597246285
inflammatory,kmeans,4,0.7902601613218257,0.5901829804242089,0.9179774870377442,0.31154145344145,-1032.0898832463452,,0.11431742508324085,901,2,1.668449761905997
