space_a,space_b,n_overlap,ARI,NMI,perm_p_right_tail,null_mean_ARI,null_sd_ARI
endocrine,inflammatory,888,0.06344751705595371,0.021454920997950176,0.001996007984031936,0.0006943636839842198,0.009249303952329894
endocrine,metabolic,1008,0.1592823381253782,0.07408390568041534,0.001996007984031936,0.0002714619825654615,0.009833481585279831
endocrine,thyroid,1026,-0.008770930869828547,0.00065528543886905,0.8163672654690619,-0.00011256382739334275,0.011526532874122336
inflammatory,metabolic,886,0.20796576270908504,0.10910115795966131,0.001996007984031936,-0.00011011645247544215,0.01028508893340067
inflammatory,thyroid,899,0.02689650700145512,0.00581389160257653,0.027944111776447105,0.00023302558002669783,0.012379770315255672
metabolic,thyroid,1018,0.0070672806941684116,0.00033935912327688356,0.3393213572854291,0.0001245618805278447,0.013055845382338676
