space_a,space_b,n_overlap,ARI,NMI,perm_p_right_tail,null_mean_ARI,null_sd_ARI
endocrine,metabolic,874,0.17264236409173006,0.08040920219808939,0.0196078431372549,-0.002198974105326087,0.010075396356384084
endocrine,thyroid,874,-0.009000827319386416,0.0005963283830242742,0.803921568627451,0.0008984859320847227,0.014184965250635222
endocrine,inflammatory,874,0.08067335587233347,0.034868221689414614,0.0196078431372549,-0.0007996990098006325,0.007190728390445175
metabolic,thyroid,874,0.010002943850874385,0.000807856548041575,0.2549019607843137,-0.0023679378225491252,0.013696879526959272
metabolic,inflammatory,874,0.18910670192949713,0.11041075021121466,0.0196078431372549,0.001357191510100744,0.007815983845972865
thyroid,inflammatory,874,0.0232224813839774,0.008295238703033342,0.0196078431372549,0.0020669086663545385,0.008371218454566365
