space_a,space_b,n_overlap,ARI,NMI,perm_p_right_tail,null_mean_ARI,null_sd_ARI
endocrine,metabolic,1286,0.19578443500301074,0.08398469644351583,0.0196078431372549,-1.43768169090994e-05,0.011255151742705536
endocrine,thyroid,1286,-0.002049404486479068,2.2692297748301216e-05,0.6078431372549019,-0.0014862194436895267,0.012087591086330092
endocrine,inflammatory,1286,0.08614256174480622,0.02173134062967514,0.0196078431372549,0.00018177442967987948,0.013937535738163975
metabolic,thyroid,1286,0.016790636860583474,0.00131808222661762,0.1568627450980392,0.002022218695267775,0.0138419732415244
metabolic,inflammatory,1286,0.18625996015525625,0.06976498018958933,0.0196078431372549,-0.004569323019010846,0.015505715260537
thyroid,inflammatory,1286,0.04327186013081385,0.006237250983128658,0.058823529411764705,3.612549951433897e-05,0.020069505020523827
