,PC1,PC2
WBC,0.461522571555,0.42936010570023697
NEUT,0.5648722077860681,0.16698498367247328
LYMPH,0.0031246901444846728,0.627884676330221
PLT,0.2748080138423772,0.061984182457135856
NLR,0.5761122697105087,-0.3091550043925869
PLR,0.24593037499395567,-0.5423171511899829
