,PC1,PC2,PC3,PC4
GLU0,0.251207848927093,-0.1940464763297291,0.32759623113599,0.7792143189765359
GLU120,0.2850358534127826,-0.15335065617506513,0.8416612665941563,-0.4067570548915044
INS0,0.5699212038221068,-0.28417920510360595,-0.2567950191832386,0.22351382249420693
TCHOL,0.23983241825897414,0.6596446608964432,0.06975384976072005,0.0842563940832696
LDL,0.2979202641060206,0.5662282830533644,0.04549447902271885,0.07917559791886136
HDL,-0.31048089826767267,0.3162763689924952,0.1927005833656736,0.21609879206548055
TG,0.5368095933742056,0.047910665822485134,-0.27253344340802377,-0.34256198179317365
